Aruba	29034
Afghanistan	2332100
Angola	2561600
Anguilla	1556
Albania	270000
Andorra	21189
Netherlands Antilles	2345
United Arab Emirates	1728336
Argentina	19996563
Armenia	1633100
American Samoa	7523
Antigua and Barbuda	24000
Australia	11313666
Austria	2384273
Azerbaijan	2464000
Burundi	300000
Belgium	1609322
Benin	968503
Burkina Faso	1229000
Bangladesh	8569906
Bulgaria	2696915
Bahrain	148000
Bahamas	172000
Bosnia and Herzegovina	599106
Belarus	4741000
Belize	62915
Bermuda	3000
Bolivia	3378644
Brazil	85876862
Barbados	6070
Brunei	21484
Bhutan	22000
Botswana	314822
Central African Republic	524000
Canada	12673840
Cocos (Keeling) Islands	670
Switzerland	914200
Chile	9717970
China	175953614
Côte d’Ivoire	3191137
Cameroon	3522554
Congo, The Democratic Republic of the	9864615
Congo	1450000
Cook Islands	11900
Colombia	20250990
Comoros	36000
Cape Verde	94800
Costa Rica	339131
Cuba	4629925
Christmas Island	700
Cayman Islands	19600
Cyprus	349400
Czech Republic	2634711
Germany	26245483
Djibouti	383000
Dominica	16243
Denmark	1215945
Dominican Republic	2438276
Algeria	5192179
Ecuador	5744142
Egypt	20083079
Eritrea	431000
Western Sahara	169000
Spain	16669189
Estonia	505227
Ethiopia	3190334
Finland	1532919
Fiji Islands	77366
Falkland Islands	1636
France	9244494
Faroe Islands	14542
Micronesia, Federated States of	30600
Gabon	419000
United Kingdom	22436673
Georgia	1880900
Ghana	1819889
Gibraltar	27025
Guinea	1090610
Guadeloupe	75380
Gambia	144926
Guinea-Bissau	241000
Equatorial Guinea	40000
Greece	1972843
Grenada	4621
Greenland	13445
Guatemala	1225188
French Guiana	50699
Guam	10639
Guyana	254000
Hong Kong	3300633
Honduras	1287000
Croatia	1168883
Haiti	1517338
Hungary	2953310
Indonesia	37485695
India	123298526
Ireland	609041
Iran	26032990
Iraq	8926041
Iceland	109184
Israel	2813000
Italy	15087019
Jamaica	314140
Jordan	1847677
Japan	77965107
Kazakstan	5484200
Kenya	3522793
Kyrgyzstan	812100
Cambodia	805055
Kiribati	7281
Saint Kitts and Nevis	11600
South Korea	38999893
Kuwait	261252
Laos	628452
Lebanon	1340000
Liberia	850000
Libyan Arab Jamahiriya	2697007
Saint Lucia	2301
Liechtenstein	10389
Sri Lanka	1545000
Lesotho	297000
Lithuania	1473317
Luxembourg	80700
Latvia	968596
Macao	437500
Morocco	8757562
Monaco	14388
Moldova	1193300
Madagascar	1123161
Maldives	71000
Mexico	59752521
Marshall Islands	28000
Macedonia	444299
Mali	809552
Malta	28518
Myanmar	6203000
Mongolia	773700
Northern Mariana Islands	9200
Mozambique	3143145
Mauritania	764900
Montserrat	2000
Martinique	94050
Mauritius	337280
Malawi	914119
Malaysia	4605141
Mayotte	12000
Namibia	169000
New Caledonia	76293
Niger	653857
Norfolk Island	800
Nigeria	17366900
Nicaragua	1269223
Niue	682
Netherlands	5180049
Norway	1100028
Nepal	1132403
Nauru	4609
New Zealand	1847600
Oman	537096
Pakistan	31546745
Panama	786755
Pitcairn	42
Peru	12147242
Philippines	30934791
Palau	12000
Papua New Guinea	247000
Poland	11687431
Puerto Rico	1564174
North Korea	6476751
Portugal	1145011
Paraguay	1020020
Palestine	902360
French Polynesia	51441
Qatar	355000
Réunion	131480
Romania	7469006
Russian Federation	69150700
Rwanda	286000
Saudi Arabia	10636700
Sudan	4752187
Senegal	2770458
Singapore	4017733
Saint Helena	1500
Svalbard and Jan Mayen	1438
Solomon Islands	50100
Sierra Leone	850000
El Salvador	1138231
San Marino	7096
Somalia	1177000
Saint Pierre and Miquelon	5808
Sao Tome and Principe	49541
Suriname	112000
Slovakia	784143
Slovenia	386518
Sweden	2891431
Swaziland	61000
Seychelles	41000
Syria	4477784
Turks and Caicos Islands	4800
Chad	630465
Togo	375000
Thailand	7953161
Tajikistan	685500
Tokelau	300
Turkmenistan	972600
East Timor	47900
Tonga	22400
Trinidad and Tobago	99997
Tunisia	1798500
Turkey	28327028
Tuvalu	4600
Taiwan	13569336
Tanzania	2944034
Uganda	890800
Ukraine	20074000
Uruguay	1236000
United States	78625774
Uzbekistan	5183900
Holy See (Vatican City State)	455
Saint Vincent and the Grenadines	17100
Venezuela	12251091
Virgin Islands, British	8000
Virgin Islands, U.S.	13000
Vietnam	9364813
Vanuatu	33700
Wallis and Futuna	1137
Samoa	35900
Yemen	1743700
Yugoslavia	2189507
South Africa	15196370
Zambia	2473500
Zimbabwe	2730420
